0	0.00205986	-0.0236454	0.109579	0.120825	inf	0	0
3	0.00540209	0.0146851	0.0617042	0.0619858	inf	0	0
6	-0.00477499	0.0123056	0.0564161	0.0619098	inf	0	0
9	-0.00821669	-0.0334408	0.114336	0.113406	inf	0	0
12	0.00185172	0.00449617	0.0293326	0.031691	inf	0	0
15	-0.00429866	0.00718527	0.0390584	0.0447794	inf	0	0
18	-9.22547e-05	0.0111155	0.0652166	0.0722154	inf	0	0
21	-0.00485821	0.0186914	0.0700794	0.0746672	inf	0	0
24	0.0018066	-0.00363122	0.0304899	0.036404	inf	0	0
27	-0.00213056	0.0156616	0.0495908	0.0581925	inf	0	0
30	0.00368009	-0.0109358	0.0422655	0.0448162	inf	0	0
