0	-0.000512998	0.000554558	0.00752334	0.00573872	0.017345	0	5755.8
3	0.000149472	0.00121763	0.00669045	0.0065202	0.0173676	0	5748.05
6	0.000426905	0.000373382	0.00899842	0.0058441	0.0173734	0	5746.23
9	0.000211473	0.00245117	0.00762519	0.00618287	0.0173613	0	5749.73
12	0.000647551	0.00191792	0.00912809	0.00631142	0.0173719	0	5746.91
15	-5.27232e-05	0.00334576	0.0080723	0.0067636	0.0173723	0	5746.43
18	-0.00013443	0.00472873	0.00767857	0.00598416	0.0174092	0	5734.31
21	-0.000405914	0.0060359	0.0070008	0.00557626	0.0173584	0	5750.54
24	0.000384266	0.00790592	0.007511	0.0055083	0.0173436	0	5755.21
27	0.000442552	0.00759163	0.00765194	0.00585607	0.0173504	0	5753.38
30	0.000395211	0.00860084	0.00670591	0.00544351	0.0172683	0	5780.12
